Sl.No.,Brand,Product_Description,Price,Product_Link,Rating
619,Levis,Slim Fit Floral Casual shirt,Rs. 1754,https://www.myntra.com/shirts/levis/levis-men-olive-green-slim-fit-floral-printed-linen-cotton-casual-shirt/18974492/buy,4
620,Roadster,Cotton Striped Polo tshirt,Rs. 719,https://www.myntra.com/tshirts/roadster/roadster-men-blue--beige-pure-cotton-striped-polo-collar-t-shirt/13334710/buy,4.3
621,ColorPlus,Plus Size Cotton Casual shirt,Rs. 2599,https://www.myntra.com/shirts/colorplus/colorplus-plus-size-geometric-printed-slim-fit-organic-cotton-casual-shirt/22503614/buy,4.1
622,Roadster,Cotton Casual shirt,Rs. 999,https://www.myntra.com/shirts/roadster/roadster-men-olive-green-cotton-sustainable-casual-shirt/11896034/buy,4.4
623,Red Tape,Men Skinny Fit jeans,Rs. 1310,https://www.myntra.com/jeans/red-tape/red-tape-men-mid-rise-skinny-fit-stretchable-jeans/22617848/buy,3.9
624,INVICTUS,Slim Fit Casual shirt,Rs. 768,https://www.myntra.com/shirts/invictus/invictus-slim-fit-striped-casual-shirt/20492220/buy,4.2
625,Nautica,Men Pure Cotton tshirt,Rs. 3599,https://www.myntra.com/tshirts/nautica/nautica-men-pure-cotton-polo-collar-t-shirt/20307580/buy,4.2
626,KETCH,Structured Oversize tshirt,Rs. 524,https://www.myntra.com/tshirts/ketch/ketch-men-popcorn-structured-oversize-t-shirt/22591354/buy,4.6
627,Van Heusen,Men Polo Collar Slim Fit tshirt,Rs. 1849,https://www.myntra.com/tshirts/van-heusen/van-heusen-polo-collar-pure-cotton-slim-fit-t-shirt/22354904/buy,3.9
628,Louis Philippe Jeans,Men Slim Fit Low-Rise jeans,Rs. 2799,https://www.myntra.com/jeans/louis-philippe-jeans/louis-philippe-jeans-men-navy-blue-slim-fit-low-rise-light-fade-stretchable-jeans/19931574/buy,3.6
629,Raymond,Organic Cotton Formal shirt,Rs. 3299,https://www.myntra.com/shirts/raymond/raymond-textured-spread-collar-contemporary-fit-organic-cotton-formal-shirt/22413542/buy,4.6
630,Roadster,Pure Cotton Round Neck tshirt,Rs. 549,https://www.myntra.com/tshirts/roadster/roadster-men-olive-green--navy-blue-pure-cotton-striped-round-neck-t-shirt/12504350/buy,4.2
631,United Colors of Benetton,Men Polo Collar tshirt,Rs. 1299,https://www.myntra.com/tshirts/united-colors-of-benetton/united-colors-of-benetton-men-white-pure-cotton-polo-collar-t-shirt/15340872/buy,4.2
632,Allen Solly,Men Pure Cotton Formal shirt,Rs. 2099,https://www.myntra.com/shirts/allen-solly/allen-solly-men-blue-slim-fit-windowpane-checks-pure-cotton-formal-shirt/20791542/buy,4.7
633,Mast & Harbour,Men Slim Tapered Fit jeans,Rs. 989,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-slim-tapered-fit-stretchable-coloured-jeans/16882882/buy,4.4
634,H&M,10-Pack Regular Fit tshirts,Rs. 4999,https://www.myntra.com/tshirts/hm/hm-men-10-pack-regular-fit-round-neck-t-shirts/22283818/buy,4.1
635,Flying Machine,Men Slim Fit jeans,Rs. 1119,https://www.myntra.com/jeans/flying-machine/flying-machine-men-blue-slim-fit-light-fade-stretchable-jeans/19059650/buy,4.2
636,U.S. Polo Assn.,Men Pure Cotton Printed shirt,Rs. 1379,https://www.myntra.com/shirts/us-polo-assn/u-s-polo-assn-men-tailored-fit-conversational-printed-pure-cotton-casual-shirt/19166730/buy,4.4
637,Roadster,Regular Fit Solid shirt,Rs. 699,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-olive-green-regular-fit-solid-casual-shirt/10398119/buy,3.9
638,Tommy Hilfiger,Men Solid Slim Fit tshirt,Rs. 2239,https://www.myntra.com/tshirts/tommy-hilfiger/tommy-hilfiger-men-slim-fit-solid-polo-collar-t-shirt/21487934/buy,3.7
639,FUBAR,Spread Collar Casual shirt,Rs. 412,https://www.myntra.com/shirts/fubar/fubar-modern-spread-collar-cotton-casual-shirt/22642786/buy,2.6
640,Powerlook,Men Cotton Cargo jeans,Rs. 1999,https://www.myntra.com/jeans/powerlook/powerlook-men-black-boyfriend-fit-stretchable-cotton-cargo-jeans/23092880/buy,3.9
641,Indian Terrain,Slim Fit Printed Casual shirt,Rs. 2399,https://www.myntra.com/shirts/indian-terrain/indian-terrain-slim-fit-floral-printed-casual-shirt/16143682/buy,4.7
642,Sztori,Men Plus Size Cotton tshirt,Rs. 594,https://www.myntra.com/tshirts/sztori/sztori-men-plus-size-white--navy-blue-striped-pure-cotton-t-shirt/15258248/buy,4.4
643,Allen Solly,Slim Fit Casual shirt,Rs. 1494,https://www.myntra.com/shirts/allen-solly/allen-solly-men-blue-slim-fit-tartan-checks-checked-casual-shirt/19540622/buy,3.8
644,GANT,Polo Collar Cotton tshirt,Rs. 2474,https://www.myntra.com/tshirts/gant/gant-polo-collar-cotton-t-shirt/22428118/buy,4.8
645,Roadster,Pure Cotton Casual shirt,Rs. 689,https://www.myntra.com/shirts/roadster/roadster-men-charcoal-pure-cotton-casual-sustainable-shirt/12919638/buy,4.2
646,Louis Philippe Jeans,Slim Fit Cotton Casual shirt,Rs. 2474,https://www.myntra.com/shirts/louis-philippe-jeans/louis-philippe-jeans-men-green--back-slim-fit-tartan-checked-pure-cotton-casual-shirt/19931650/buy,4.6
647,WROGN,Men Slim Fit Casual shirt,Rs. 959,https://www.myntra.com/shirts/wrogn/wrogn-men-navy--maroon-slim-fit-checked-casual-shirt/8426181/buy,4.3
648,Louis Philippe Sport,Slim Fit Opaque Casual shirt,Rs. 1099,https://www.myntra.com/shirts/louis-philippe-sport/louis-philippe-sport-men-purple-slim-fit-opaque-cotton-casual-shirt/15090724/buy,4.1
649,Roadster,Pure Cotton Round Neck Pure Cotton tshirt,Rs. 299,https://www.myntra.com/tshirts/roadster/roadster-men-mauve-pure-cotton-solid-round-neck-pure-cotton-t-shirt/12504412/buy,4.3
650,Mr Bowerbird,Philosophy Oversized Pure Cotton tshirt,Rs. 824,https://www.myntra.com/tshirts/mr-bowerbird/mr-bowerbird-men-blue-pure-cotton-philosophy-crew-neck-oversized-pure-cotton-t-shirt/13675248/buy,4.5
651,Indian Terrain,Pure Cotton Semiformal shirt,Rs. 2399,https://www.myntra.com/shirts/indian-terrain/indian-terrain-men-pure-cotton-slim-fit-opaque-checked-semiformal-shirt/16144264/buy,5
652,Roadster,Pure Cotton Casual shirt,Rs. 609,https://www.myntra.com/shirts/roadster/roadster-men-black-pure-cotton-casual-shirt/18199962/buy,4.3
653,HRX by Hrithik Roshan,Abstract Active tshirt,Rs. 549,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-blue-abstract-printed-active-t-shirt/1915280/buy,4.2
654,WROGN,Men Pure Cotton Casual shirt,Rs. 1539,https://www.myntra.com/shirts/wrogn/wrogn-men-pure-cotton-solid-slim-fit-opaque-casual-shirt/22147962/buy,4.8
655,Roadster,Solid Polo Collar Pure Cotton tshirt,Rs. 584,https://www.myntra.com/tshirts/roadster/roadster-men-navy-blue-solid-polo-collar-pure-cotton-t-shirt/2303687/buy,4.2
